,ahn,hong,moon,pop,광역시도,시군
201,12000.0,713.0,14370.0,28950.0,전라남도,신안군
202,26901.0,77138.0,38629.0,171444.0,경상북도,포항시북구
203,24728.0,66319.0,34808.0,150740.0,경상북도,포항시남구
204,973.0,3520.0,1443.0,6810.0,경상북도,울릉군
205,23898.0,80090.0,38092.0,167296.0,경상북도,경주시
206,12803.0,43998.0,22255.0,92184.0,경상북도,김천시
207,15461.0,52978.0,23121.0,107357.0,경상북도,안동시
208,41141.0,98732.0,62573.0,246638.0,경상북도,구미시
209,10444.0,34504.0,15280.0,70861.0,경상북도,영주시
210,9175.0,35328.0,12250.0,66091.0,경상북도,영천시
211,9392.0,38171.0,12356.0,67717.0,경상북도,상주시
212,6905.0,27832.0,8616.0,49113.0,경상북도,문경시
213,4427.0,18863.0,5261.0,32124.0,경상북도,예천군
214,24606.0,72129.0,35602.0,160794.0,경상북도,경산시
215,3654.0,17678.0,5323.0,30398.0,경상북도,청도군
216,2600.0,13248.0,3754.0,22396.0,경상북도,고령군
217,3586.0,16788.0,5409.0,30070.0,경상북도,성주군
218,11340.0,31540.0,16872.0,72006.0,경상북도,칠곡군
219,1939.0,11651.0,2251.0,17627.0,경상북도,군위군
220,4767.0,23790.0,5365.0,37855.0,경상북도,의성군
221,2387.0,10669.0,3218.0,18418.0,경상북도,청송군
222,1701.0,6554.0,2281.0,12048.0,경상북도,영양군
223,3231.0,16314.0,3786.0,26125.0,경상북도,영덕군
224,3370.0,12536.0,4209.0,22947.0,경상북도,봉화군
225,4476.0,16867.0,6972.0,32568.0,경상북도,울진군
226,22830.0,56887.0,60757.0,164047.0,경상남도,창원시의창구
227,22923.0,42052.0,63717.0,153327.0,경상남도,창원시성산구
228,14686.0,54488.0,35592.0,119281.0,경상남도,창원시마산합포구
229,17744.0,56340.0,45014.0,136757.0,경상남도,창원시마산회원구
230,17435.0,40049.0,41249.0,114779.0,경상남도,창원시진해구
231,26687.0,93751.0,73929.0,222813.0,경상남도,진주시
232,10738.0,36128.0,25477.0,82855.0,경상남도,통영시
233,4104.0,16797.0,9848.0,34603.0,경상남도,고성군
234,8350.0,32475.0,22370.0,71555.0,경상남도,사천시
235,45126.0,82880.0,147972.0,318253.0,경상남도,김해시
236,9073.0,32394.0,20842.0,70687.0,경상남도,밀양시
237,20359.0,38775.0,68291.0,150230.0,경상남도,거제시
238,1984.0,10134.0,5115.0,19258.0,경상남도,의령군
239,5399.0,19809.0,13597.0,43866.0,경상남도,함안군
240,3877.0,24464.0,10310.0,42878.0,경상남도,창녕군
241,30945.0,58811.0,83412.0,199835.0,경상남도,양산시
242,4150.0,14864.0,11211.0,34324.0,경상남도,하동군
243,3906.0,14166.0,8680.0,30208.0,경상남도,남해군
244,3203.0,13008.0,7388.0,26640.0,경상남도,함양군
245,2753.0,12544.0,6561.0,24513.0,경상남도,산청군
246,4923.0,19976.0,11256.0,41325.0,경상남도,거창군
247,3077.0,19699.0,7143.0,33021.0,경상남도,합천군
248,55971.0,48027.0,125717.0,273163.0,제주특별자치도,제주시
249,21890.0,20036.0,43776.0,101296.0,제주특별자치도,서귀포시
